#{"t_start": 1677753903.002829, "env_id": null}
r,l,t
1.0,1,5.008461
1.0,1,5.01155
2.0,2,5.015335
1.0,1,5.01652
1.0,1,5.017772
1.0,1,5.021846
2.0,2,5.025332
4.0,4,5.035343
2.0,2,5.038589
1.0,1,5.039691
1.0,1,5.044741
1.0,1,5.04586
1.0,1,5.046931
2.0,2,5.050578
1.0,1,5.053757
1.0,1,5.054847
3.0,3,5.060411
1.0,1,5.064183
1.0,1,5.065341
1.0,1,5.066414
1.0,1,5.067453
3.0,3,5.075183
3.0,3,5.080574
1.0,1,5.083799
1.0,1,5.084828
2.0,2,5.088127
1.0,1,5.089209
1.0,1,5.09226
3.0,3,5.097615
1.0,1,5.098673
1.0,1,5.101748
1.0,1,5.102795
1.0,1,5.103836
3.0,3,5.111163
3.0,3,5.116724
3.0,3,5.124266
1.0,1,5.12528
4.0,4,5.13503
1.0,1,5.136066
2.0,2,5.139373
1.0,1,5.142511
1.0,1,5.143571
1.0,1,5.144622
1.0,1,5.145701
1.0,1,5.146849
1.0,1,5.151504
3.0,3,5.15758
3.0,3,5.165636
3.0,3,5.170958
1.0,1,5.174085
1.0,1,5.175141
1.0,1,5.176205
4.0,4,5.185938
2.0,2,5.189132
3.0,3,5.196562
1.0,1,5.197574
1.0,1,5.198594
1.0,1,5.199615
3.0,3,5.206937
1.0,1,5.207976
2.0,2,5.213152
1.0,1,5.214175
1.0,1,5.215198
1.0,1,5.216237
1.0,1,5.217296
4.0,4,5.226722
3.0,3,5.234001
1.0,1,5.235049
2.0,2,5.238207
1.0,1,5.241151
1.0,1,5.242172
2.0,2,5.245387
4.0,4,5.254805
1.0,1,5.257434
1.0,1,5.258531
1.0,1,5.261615
1.0,1,5.262658
1.0,1,5.263671
1.0,1,5.26468
3.0,3,5.272327
1.0,1,5.273354
2.0,2,5.276791
1.0,1,5.279857
1.0,1,5.280868
1.0,1,5.281889
1.0,1,5.282903
3.0,3,5.292146
2.0,2,5.295378
1.0,1,5.296554
1.0,1,5.29961
1.0,1,5.30064
1.0,1,5.339523
2.0,2,5.342856
3.0,3,5.350413
2.0,2,5.353567
1.0,1,5.356573
1.0,1,5.357599
1.0,1,5.358638
1.0,1,5.359722
1.0,1,5.360749
1.0,1,5.366412
3.0,3,5.371821
3.0,3,5.379694
1.0,1,5.380793
1.0,1,5.38187
1.0,1,5.38305
1.0,1,5.386214
2.0,2,5.389575
3.0,3,5.397148
1.0,1,5.39821
1.0,1,5.399233
2.0,2,5.402374
2.0,2,5.407627
1.0,1,5.408621
1.0,1,5.409639
1.0,1,5.410665
2.0,2,5.415927
3.0,3,5.421198
3.0,3,5.428426
1.0,1,5.429499
1.0,1,5.430549
1.0,1,5.433609
2.0,2,5.436893
2.0,2,5.440247
1.0,1,5.443242
1.0,1,5.444306
1.0,1,5.445387
1.0,1,5.446429
2.0,2,5.451752
2.0,2,5.455044
1.0,1,5.456103
2.0,2,5.461756
1.0,1,5.463121
3.0,3,5.470985
3.0,3,5.479185
1.0,1,5.480281
4.0,4,5.490167
1.0,1,5.491349
2.0,2,5.497155
2.0,2,5.500648
1.0,1,5.501879
1.0,1,5.50302
2.0,2,5.508527
1.0,1,5.509624
1.0,1,5.510713
1.0,1,5.511773
2.0,2,5.519586
1.0,1,5.520684
1.0,1,5.52171
2.0,2,5.527629
2.0,2,5.53093
2.0,2,5.534316
1.0,1,5.539922
1.0,1,5.541062
1.0,1,5.542129
1.0,1,5.543125
2.0,2,5.548559
2.0,2,5.55194
2.0,2,5.555159
2.0,2,5.560909
1.0,1,5.562027
2.0,2,5.5652
2.0,2,5.571081
4.0,4,5.582771
4.0,4,5.591203
1.0,1,5.595113
4.0,4,5.602817
1.0,1,5.605957
2.0,2,5.60928
2.0,2,5.613172
1.0,1,5.616362
1.0,1,5.617436
1.0,1,5.618507
2.0,2,5.621897
1.0,1,5.625327
2.0,2,5.628628
1.0,1,5.629636
3.0,3,5.637634
1.0,1,5.638679
2.0,2,5.641995
1.0,1,5.645525
1.0,1,5.646567
1.0,1,5.647564
2.0,2,5.650936
1.0,1,5.654168
2.0,2,5.657447
2.0,2,5.660642
2.0,2,5.665971
1.0,1,5.66704
1.0,1,5.668057
2.0,2,5.673379
4.0,4,5.683039
1.0,1,5.686606
1.0,1,5.68769
2.0,2,5.691143
1.0,1,5.692333
1.0,1,5.695541
4.0,4,5.703245
5.0,5,5.715094
1.0,1,5.718196
1.0,1,5.719249
1.0,1,5.720303
1.0,1,5.721357
3.0,3,5.728655
5.0,5,5.740364
3.0,3,5.74564
4.0,4,5.755524
1.0,1,5.75658
4.0,4,5.766192
2.0,2,5.771499
1.0,1,5.772575
2.0,2,5.775741
1.0,1,5.776774
1.0,1,5.779949
1.0,1,5.78267
2.0,2,5.786162
1.0,1,5.787183
1.0,1,5.790339
1.0,1,5.791458
1.0,1,5.792566
1.0,1,5.793575
1.0,1,5.794643
1.0,1,5.797932
2.0,2,5.801194
2.0,2,5.804415
2.0,2,5.810396
1.0,1,5.811486
1.0,1,5.812534
3.0,3,5.819901
1.0,1,5.820944
2.0,2,5.824011
3.0,3,5.831586
1.0,1,5.832599
1.0,1,5.833591
1.0,1,5.836692
1.0,1,5.837729
2.0,2,5.840943
1.0,1,5.841953
2.0,2,5.847107
3.0,3,5.852524
1.0,1,5.855575
2.0,2,5.858759
1.0,1,5.85977
3.0,3,5.866951
3.0,3,5.872265
1.0,1,5.875181
1.0,1,5.876239
1.0,1,5.877267
1.0,1,5.878301
1.0,1,5.879292
1.0,1,5.882242
1.0,1,5.883273
1.0,1,5.88431
2.0,2,5.888881
5.0,5,5.901909
1.0,1,5.90511
2.0,2,5.908289
1.0,1,5.909443
2.0,2,5.914961
2.0,2,5.918175
1.0,1,5.919229
1.0,1,5.920245
3.0,3,5.927637
1.0,1,5.928645
1.0,1,5.929649
2.0,2,5.93488
2.0,2,5.937968
2.0,2,5.943315
3.0,3,5.94871
1.0,1,5.949772
2.0,2,5.955067
1.0,1,5.956086
1.0,1,5.957147
1.0,1,5.958174
1.0,1,5.961125
1.0,1,5.962157
1.0,1,5.963178
1.0,1,5.964192
1.0,1,5.965313
1.0,1,5.968317
1.0,1,5.969408
1.0,1,5.970504
3.0,3,5.97781
3.0,3,5.983198
1.0,1,5.984194
4.0,4,5.993678
2.0,2,6.010177
2.0,2,6.013899
2.0,2,6.017275
1.0,1,6.020976
1.0,1,6.022026
1.0,1,6.023111
1.0,1,6.02418
2.0,2,6.029385
1.0,1,6.030449
1.0,1,6.031672
1.0,1,6.03288
2.0,2,6.039291
1.0,1,6.040576
1.0,1,6.041864
3.0,3,6.054805
1.0,1,6.056072
1.0,1,6.057198
1.0,1,6.058249
1.0,1,6.059319
1.0,1,6.064507
1.0,1,6.065952
1.0,1,6.067278
4.0,4,6.080685
1.0,1,6.081977
1.0,1,6.08322
3.0,3,6.093659
2.0,2,6.097311
5.0,5,6.112432
2.0,2,6.118744
3.0,3,6.124235
1.0,1,6.125593
2.0,2,6.132008
1.0,1,6.133298
1.0,1,6.134577
1.0,1,6.135755
1.0,1,6.139422
5.0,5,6.152777
1.0,1,6.153893
1.0,1,6.154935
1.0,1,6.156003
2.0,2,6.162152
3.0,3,6.167921
3.0,3,6.176338
1.0,1,6.177437
1.0,1,6.178506
2.0,2,6.184411
2.0,2,6.187743
3.0,3,6.195975
1.0,1,6.197088
2.0,2,6.200564
1.0,1,6.201713
6.0,6,6.221122
2.0,2,6.224622
2.0,2,6.228186
1.0,1,6.232362
1.0,1,6.233934
1.0,1,6.234981
1.0,1,6.236012
4.0,4,6.246814
1.0,1,6.24791
1.0,1,6.249027
2.0,2,6.255694
5.0,5,6.269442
2.0,2,6.272877
2.0,2,6.278859
5.0,5,6.292985
3.0,3,6.299384
1.0,1,6.300563
1.0,1,6.304037
3.0,3,6.310758
3.0,3,6.321539
4.0,4,6.333062
1.0,1,6.334457
2.0,2,6.338219
2.0,2,6.343914
1.0,1,6.344943
1.0,1,6.346141
2.0,2,6.350402
4.0,4,6.363131
1.0,1,6.364557
1.0,1,6.368639
1.0,1,6.369923
1.0,1,6.371149
5.0,5,6.385983
1.0,1,6.387262
1.0,1,6.388481
3.0,3,6.397638
2.0,2,6.400818
1.0,1,6.40534
2.0,2,6.409371
5.0,5,6.425502
1.0,1,6.426762
4.0,4,6.439479
1.0,1,6.440617
3.0,3,6.449122
1.0,1,6.450269
1.0,1,6.451577
1.0,1,6.453044
1.0,1,6.457225
1.0,1,6.458548
1.0,1,6.459692
1.0,1,6.460818
1.0,1,6.462102
3.0,3,6.470418
1.0,1,6.471497
1.0,1,6.472571
3.0,3,6.481226
6.0,6,6.496527
1.0,1,6.497571
3.0,3,6.505712
1.0,1,6.506792
1.0,1,6.507891
1.0,1,6.511461
4.0,4,6.519508
1.0,1,6.522947
1.0,1,6.52408
1.0,1,6.525336
3.0,3,6.535802
6.0,6,6.552093
3.0,3,6.558039
1.0,1,6.561842
4.0,4,6.569392
1.0,1,6.573392
1.0,1,6.574533
3.0,3,6.580749
1.0,1,6.5844
3.0,3,6.590246
1.0,1,6.591448
3.0,3,6.599954
1.0,1,6.601174
1.0,1,6.60222
2.0,2,6.608081
1.0,1,6.609222
1.0,1,6.610231
1.0,1,6.611272
1.0,1,6.614659
1.0,1,6.615715
2.0,2,6.619312
5.0,5,6.646011
1.0,1,6.647074
3.0,3,6.655482
2.0,2,6.659006
2.0,2,6.664928
3.0,3,6.670736
2.0,2,6.677144
2.0,2,6.68042
1.0,1,6.681466
3.0,3,6.689438
1.0,1,6.690539
2.0,2,6.696164
2.0,2,6.699344
1.0,1,6.700474
1.0,1,6.701671
1.0,1,6.704811
2.0,2,6.708378
1.0,1,6.709598
1.0,1,6.710648
1.0,1,6.71398
2.0,2,6.71757
1.0,1,6.718626
1.0,1,6.719686
1.0,1,6.726058
1.0,1,6.727232
1.0,1,6.728318
1.0,1,6.729373
2.0,2,6.735269
1.0,1,6.736375
1.0,1,6.737387
1.0,1,6.738451
1.0,1,6.739492
6.0,6,6.758822
1.0,1,6.760057
1.0,1,6.761169
1.0,1,6.762266
1.0,1,6.763282
3.0,3,6.772473
1.0,1,6.7735
1.0,1,6.774567
1.0,1,6.778055
4.0,4,6.786032
2.0,2,6.792648
2.0,2,6.796154
1.0,1,6.797207
2.0,2,6.802953
2.0,2,6.806215
2.0,2,6.811722
1.0,1,6.812807
1.0,1,6.813864
1.0,1,6.81491
1.0,1,6.81595
4.0,4,6.825549
1.0,1,6.826592
1.0,1,6.829718
6.0,6,6.845273
2.0,2,6.850396
1.0,1,6.851453
3.0,3,6.859334
1.0,1,6.860394
2.0,2,6.86583
1.0,1,6.866982
1.0,1,6.868093
1.0,1,6.869164
4.0,4,6.87919
1.0,1,6.880252
1.0,1,6.88128
1.0,1,6.88441
4.0,4,6.891811
2.0,2,6.896984
1.0,1,6.89801
1.0,1,6.89905
2.0,2,6.904721
1.0,1,6.905753
2.0,2,6.908974
3.0,3,6.916254
4.0,4,6.925836
2.0,2,6.929063
1.0,1,6.930133
1.0,1,6.931153
1.0,1,6.934165
1.0,1,6.935193
1.0,1,6.936215
2.0,2,6.939385
1.0,1,6.942787
2.0,2,6.946166
1.0,1,6.947242
1.0,1,6.948302
1.0,1,6.951494
1.0,1,6.952582
1.0,1,6.953627
2.0,2,6.95901
1.0,1,6.962473
2.0,2,6.965815
1.0,1,6.966889
1.0,1,6.968134
2.0,2,6.974815
1.0,1,6.975892
1.0,1,6.976944
1.0,1,6.978
1.0,1,6.981195
1.0,1,6.982273
2.0,2,6.985466
2.0,2,6.99076
1.0,1,6.99184
3.0,3,6.997176
1.0,1,7.000855
1.0,1,7.001908
1.0,1,7.002957
1.0,1,7.003981
1.0,1,7.005008
4.0,4,7.014827
1.0,1,7.015904
4.0,4,7.025476
1.0,1,7.026523
1.0,1,7.029831
1.0,1,7.03087
1.0,1,7.031892
1.0,1,7.032969
3.0,3,7.040694
1.0,1,7.041743
3.0,3,7.049194
2.0,2,7.052451
2.0,2,7.055682
1.0,1,7.058893
2.0,2,7.062148
1.0,1,7.06338
1.0,1,7.066027
2.0,2,7.071488
1.0,1,7.07256
3.0,3,7.080683
1.0,1,7.081752
5.0,5,7.09389
1.0,1,7.094946
1.0,1,7.095968
1.0,1,7.096992
1.0,1,7.100136
3.0,3,7.105542
1.0,1,7.106587
3.0,3,7.11416
4.0,4,7.124445
1.0,1,7.125487
1.0,1,7.126524
3.0,3,7.134157
1.0,1,7.135183
3.0,3,7.142708
3.0,3,7.148225
1.0,1,7.149286
2.0,2,7.154863
5.0,5,7.166767
1.0,1,7.167806
2.0,2,7.172821
2.0,2,7.178248
1.0,1,7.17932
1.0,1,7.180386
1.0,1,7.181427
2.0,2,7.187002
1.0,1,7.188063
1.0,1,7.189126
2.0,2,7.194632
3.0,3,7.200062
1.0,1,7.201099
1.0,1,7.204265
6.0,6,7.218196
1.0,1,7.219231
1.0,1,7.220252
1.0,1,7.221312
1.0,1,7.224394
2.0,2,7.227818
1.0,1,7.22882
2.0,2,7.234051
1.0,1,7.235075
1.0,1,7.236116
2.0,2,7.239356
5.0,5,7.250935
4.0,4,7.260431
1.0,1,7.26146
3.0,3,7.269147
1.0,1,7.270189
2.0,2,7.275469
1.0,1,7.276519
1.0,1,7.279108
1.0,1,7.280195
1.0,1,7.281259
1.0,1,7.284541
3.0,3,7.289943
2.0,2,7.295412
2.0,2,7.29865
1.0,1,7.299727
1.0,1,7.300736
1.0,1,7.303717
1.0,1,7.304808
2.0,2,7.308101
1.0,1,7.309112
1.0,1,7.313137
1.0,1,7.31422
1.0,1,7.315286
1.0,1,7.316331
2.0,2,7.321896
1.0,1,7.322962
1.0,1,7.324021
1.0,1,7.325031
2.0,2,7.330825
1.0,1,7.331903
3.0,3,7.337331
5.0,5,7.349095
2.0,2,7.354377
2.0,2,7.357566
1.0,1,7.358663
4.0,4,7.368723
1.0,1,7.369921
2.0,2,7.375342
1.0,1,7.376354
7.0,7,7.395131
2.0,2,7.400789
1.0,1,7.401801
1.0,1,7.402823
2.0,2,7.408171
2.0,2,7.411299
1.0,1,7.412315
7.0,7,7.429835
1.0,1,7.430868
2.0,2,7.434032
1.0,1,7.435058
1.0,1,7.438086
1.0,1,7.439118
1.0,1,7.440145
2.0,2,7.443259
1.0,1,7.446284
1.0,1,7.447317
1.0,1,7.448345
3.0,3,7.455534
1.0,1,7.456532
2.0,2,7.459626
1.0,1,7.460632
2.0,2,7.465817
1.0,1,7.466811
1.0,1,7.467838
1.0,1,7.468876
1.0,1,7.471951
1.0,1,7.472967
2.0,2,7.476117
1.0,1,7.47715
1.0,1,7.48011
1.0,1,7.481156
1.0,1,7.482198
2.0,2,7.485344
1.0,1,7.488392
2.0,2,7.49159
1.0,1,7.49259
2.0,2,7.501182
4.0,4,7.508891
13.0,13,7.541394
1.0,1,7.542396
1.0,1,7.543395
2.0,2,7.548433
1.0,1,7.549453
1.0,1,7.550475
1.0,1,7.551497
1.0,1,7.554458
1.0,1,7.55549
2.0,2,7.558629
1.0,1,7.559639
2.0,2,7.564798
1.0,1,7.565794
1.0,1,7.566815
1.0,1,7.567841
2.0,2,7.572888
1.0,1,7.573885
4.0,4,7.583756
1.0,1,7.584783
2.0,2,7.587885
1.0,1,7.590891
1.0,1,7.591947
2.0,2,7.595111
3.0,3,7.604033
1.0,1,7.605214
2.0,2,7.608672
2.0,2,7.614067
2.0,2,7.617255
2.0,2,7.622432
2.0,2,7.625625
2.0,2,7.62882
1.0,1,7.631812
1.0,1,7.632846
1.0,1,7.633886
2.0,2,7.637032
1.0,1,7.640011
3.0,3,7.645184
5.0,5,7.6593
1.0,1,7.660346
1.0,1,7.663688
2.0,2,7.66692
1.0,1,7.668173
1.0,1,7.669189
2.0,2,7.674443
2.0,2,7.677551
1.0,1,7.678561
1.0,1,7.681543
3.0,3,7.686856
1.0,1,7.687862
1.0,1,7.692792
4.0,4,7.700276
1.0,1,7.705134
1.0,1,7.70624
1.0,1,7.708872
1.0,1,7.709935
1.0,1,7.711132
1.0,1,7.714255
2.0,2,7.717782
1.0,1,7.718822
1.0,1,7.719892
1.0,1,7.723132
1.0,1,7.72419
1.0,1,7.725226
5.0,5,7.73673
1.0,1,7.737743
2.0,2,7.742806
4.0,4,7.750097
3.0,3,7.757343
1.0,1,7.758342
1.0,1,7.75935
4.0,4,7.768804
6.0,6,7.782502
4.0,4,7.79194
1.0,1,7.792938
1.0,1,7.795844
4.0,4,7.803269
3.0,3,7.810487
3.0,3,7.81987
6.0,6,7.834292
1.0,1,7.835358
2.0,2,7.838509
1.0,1,7.84155
2.0,2,7.844723
1.0,1,7.845903
4.0,4,7.855245
3.0,3,7.862496
1.0,1,7.863564
5.0,5,7.875169
2.0,2,7.878348
2.0,2,7.885237
3.0,3,7.890677
2.0,2,7.895886
1.0,1,7.897002
1.0,1,7.898042
1.0,1,7.899092
1.0,1,7.900122
1.0,1,7.90303
3.0,3,7.908368
2.0,2,7.913436
2.0,2,7.916646
4.0,4,7.928455
1.0,1,7.929467
1.0,1,7.93058
3.0,3,7.937884
2.0,2,7.940991
6.0,6,7.954549
2.0,2,7.959683
1.0,1,7.960721
3.0,3,7.967928
1.0,1,7.968969
4.0,4,7.978478
1.0,1,7.979543
2.0,2,7.982739
1.0,1,7.983768
1.0,1,7.986854
2.0,2,7.990052
2.0,2,7.993119
1.0,1,7.99608
2.0,2,7.999279
1.0,1,8.000272
1.0,1,8.001264
1.0,1,8.004271
1.0,1,8.005301
1.0,1,8.006379
1.0,1,8.007461
1.0,1,8.008644
1.0,1,8.011617
1.0,1,8.012661
2.0,2,8.015832
2.0,2,8.020895
1.0,1,8.021896
1.0,1,8.022896
3.0,3,8.032862
1.0,1,8.033925
1.0,1,8.034967
1.0,1,8.036029
3.0,3,8.043584
1.0,1,8.044622
1.0,1,8.045653
2.0,2,8.050792
1.0,1,8.051822
1.0,1,8.052854
1.0,1,8.053867
2.0,2,8.059017
1.0,1,8.06004
1.0,1,8.061075
1.0,1,8.062117
1.0,1,8.063134
1.0,1,8.066848
1.0,1,8.067905
2.0,2,8.071124
2.0,2,8.076169
2.0,2,8.079414
3.0,3,8.08658
1.0,1,8.087579
1.0,1,8.088569
1.0,1,8.089584
2.0,2,8.094768
1.0,1,8.095835
2.0,2,8.099002
4.0,4,8.108384
1.0,1,8.109403
1.0,1,8.110428
1.0,1,8.113386
4.0,4,8.120677
2.0,2,8.125797
1.0,1,8.126818
2.0,2,8.130048
3.0,3,8.139251
1.0,1,8.140373
1.0,1,8.141497
3.0,3,8.149003
1.0,1,8.150042
1.0,1,8.151032
1.0,1,8.153989
1.0,1,8.155031
1.0,1,8.156064
3.0,3,8.163323
2.0,2,8.166421
2.0,2,8.169514
1.0,1,8.172484
2.0,2,8.175673
1.0,1,8.176696
1.0,1,8.177721
1.0,1,8.180786
3.0,3,8.186028
4.0,4,8.195343
1.0,1,8.196385
1.0,1,8.197413
1.0,1,8.200371
1.0,1,8.2014
2.0,2,8.204683
2.0,2,8.209649
1.0,1,8.210649
1.0,1,8.211639
1.0,1,8.212676
1.0,1,8.213698
2.0,2,8.218794
3.0,3,8.223935
1.0,1,8.226865
1.0,1,8.227896
1.0,1,8.228933
2.0,2,8.232106
1.0,1,8.235047
1.0,1,8.237649
1.0,1,8.238667
1.0,1,8.239813
1.0,1,8.240991
1.0,1,8.244285
1.0,1,8.245334
1.0,1,8.246356
2.0,2,8.249625
1.0,1,8.25265
3.0,3,8.257928
1.0,1,8.25893
2.0,2,8.26421
1.0,1,8.265292
3.0,3,8.27255
1.0,1,8.273592
1.0,1,8.274659
7.0,7,8.290232
1.0,1,8.293233
2.0,2,8.296399
1.0,1,8.297396
2.0,2,8.302339
1.0,1,8.30334
1.0,1,8.304367
2.0,2,8.307693
1.0,1,8.310667
1.0,1,8.311708
1.0,1,8.312725
1.0,1,8.31374
1.0,1,8.314755
1.0,1,8.317683
1.0,1,8.318721
2.0,2,8.321939
5.0,5,8.333132
3.0,3,8.34019
1.0,1,8.341192
3.0,3,8.350802
1.0,1,8.351853
3.0,3,8.357143
1.0,1,8.360314
2.0,2,8.363557
2.0,2,8.366682
1.0,1,8.369721
1.0,1,8.370726
1.0,1,8.37179
1.0,1,8.372815
1.0,1,8.373858
2.0,2,8.379136
2.0,2,8.382261
1.0,1,8.383257
2.0,2,8.388257
1.0,1,8.432921
2.0,2,8.436311
1.0,1,8.439724
2.0,2,8.442953
1.0,1,8.443946
1.0,1,8.444939
2.0,2,8.450097
1.0,1,8.452763
1.0,1,8.453859
2.0,2,8.45979
1.0,1,8.460865
1.0,1,8.461918
1.0,1,8.462934
1.0,1,8.463992
4.0,4,8.473311
1.0,1,8.474311
1.0,1,8.477906
1.0,1,8.478983
2.0,2,8.482213
3.0,3,8.489462
1.0,1,8.490504
1.0,1,8.4915
1.0,1,8.492491
2.0,2,8.497685
1.0,1,8.498721
1.0,1,8.49975
1.0,1,8.500781
1.0,1,8.503812
2.0,2,8.507008
1.0,1,8.508008
1.0,1,8.509019
1.0,1,8.512066
2.0,2,8.515261
1.0,1,8.516261
1.0,1,8.517272
2.0,2,8.528605
1.0,1,8.529632
1.0,1,8.530664
1.0,1,8.53169
1.0,1,8.534746
1.0,1,8.535758
1.0,1,8.536914
2.0,2,8.540047
1.0,1,8.543134
2.0,2,8.546355
1.0,1,8.547348
2.0,2,8.552343
4.0,4,8.561632
1.0,1,8.564879
2.0,2,8.568348
1.0,1,8.569402
1.0,1,8.570454
1.0,1,8.573597
4.0,4,8.581089
1.0,1,8.584086
2.0,2,8.587264
2.0,2,8.590417
3.0,3,8.597696
4.0,4,8.606884
3.0,3,8.612117
1.0,1,8.615133
4.0,4,8.62249
5.0,5,8.63397
2.0,2,8.639029
2.0,2,8.642182
1.0,1,8.643188
3.0,3,8.650321
2.0,2,8.653429
3.0,3,8.660503
1.0,1,8.661539
4.0,4,8.673111
1.0,1,8.674223
1.0,1,8.675361
1.0,1,8.686276
1.0,1,8.687347
2.0,2,8.690594
5.0,5,8.703024
1.0,1,8.704041
2.0,2,8.70952
2.0,2,8.712693
1.0,1,8.713695
2.0,2,8.718863
1.0,1,8.719915
1.0,1,8.721065
1.0,1,8.722085
2.0,2,8.727304
1.0,1,8.728348
1.0,1,8.729414
1.0,1,8.730453
1.0,1,8.733441
1.0,1,8.734478
1.0,1,8.735553
1.0,1,8.736575
1.0,1,8.73761
1.0,1,8.740534
1.0,1,8.741564
2.0,2,8.744757
1.0,1,8.745757
1.0,1,8.748781
3.0,3,8.754039
1.0,1,8.755053
2.0,2,8.76012
1.0,1,8.761184
2.0,2,8.764428
1.0,1,8.767416
1.0,1,8.76846
1.0,1,8.769495
1.0,1,8.772111
2.0,2,8.77768
2.0,2,8.780912
1.0,1,8.781978
2.0,2,8.787372
2.0,2,8.790486
1.0,1,8.791515
1.0,1,8.792524
1.0,1,8.796785
8.0,8,8.814671
2.0,2,8.819773
2.0,2,8.822985
1.0,1,8.824017
2.0,2,8.829104
4.0,4,8.836551
1.0,1,8.839466
1.0,1,8.84048
1.0,1,8.841614
1.0,1,8.842604
1.0,1,8.843614
1.0,1,8.84654
2.0,2,8.849738
2.0,2,8.852838
2.0,2,8.857875
2.0,2,8.861067
3.0,3,8.868659
1.0,1,8.869713
1.0,1,8.870736
1.0,1,8.871766
1.0,1,8.87477
2.0,2,8.879859
1.0,1,8.880882
1.0,1,8.882036
4.0,4,8.891881
1.0,1,8.893039
2.0,2,8.898314
2.0,2,8.901504
2.0,2,8.906807
2.0,2,8.910044
1.0,1,8.911055
1.0,1,8.912087
1.0,1,8.915095
1.0,1,8.916145
1.0,1,8.917221
1.0,1,8.918247
1.0,1,8.919317
1.0,1,8.922372
1.0,1,8.923415
2.0,2,8.926667
2.0,2,8.931623
3.0,3,8.937002
1.0,1,8.938
2.0,2,8.94316
1.0,1,8.944191
2.0,2,8.947351
2.0,2,8.952652
3.0,3,8.957899
1.0,1,8.960993
1.0,1,8.962218
1.0,1,8.963429
1.0,1,8.964466
1.0,1,8.965492
1.0,1,8.968697
1.0,1,8.969748
1.0,1,8.970774
6.0,6,8.986215
3.0,3,8.994627
1.0,1,8.995657
3.0,3,9.003637
1.0,1,9.004681
4.0,4,9.01519
2.0,2,9.01839
1.0,1,9.019414
3.0,3,9.02714
1.0,1,9.028177
4.0,4,9.03763
2.0,2,9.040875
2.0,2,9.046067
3.0,3,9.051372
1.0,1,9.052398
9.0,9,9.074528
2.0,2,9.080162
1.0,1,9.08122
3.0,3,9.086461
4.0,4,9.098077
5.0,5,9.110028
1.0,1,9.111072
2.0,2,9.116732
1.0,1,9.117725
1.0,1,9.118719
1.0,1,9.119775
1.0,1,9.122991
2.0,2,9.126372
2.0,2,9.129651
1.0,1,9.13278
1.0,1,9.133853
3.0,3,9.13928
1.0,1,9.142451
1.0,1,9.143495
2.0,2,9.147016
2.0,2,9.152572
2.0,2,9.15605
1.0,1,9.157135
2.0,2,9.163965
1.0,1,9.16515
4.0,4,9.175799
1.0,1,9.177034
4.0,4,9.187771
2.0,2,9.191397
1.0,1,9.192535
1.0,1,9.19378
1.0,1,9.19908
1.0,1,9.200309
1.0,1,9.201561
2.0,2,9.204901
1.0,1,9.209905
1.0,1,9.211099
8.0,8,9.230924
1.0,1,9.23464
1.0,1,9.235935
1.0,1,9.23707
1.0,1,9.238178
7.0,7,9.258322
1.0,1,9.259571
1.0,1,9.260634
2.0,2,9.264151
1.0,1,9.268011
1.0,1,9.269355
1.0,1,9.270504
1.0,1,9.271597
2.0,2,9.277449
1.0,1,9.278543
6.0,6,9.293799
1.0,1,9.294885
2.0,2,9.302848
3.0,3,9.30845
2.0,2,9.31476
2.0,2,9.318577
1.0,1,9.319676
1.0,1,9.320722
1.0,1,9.326572
1.0,1,9.327692
2.0,2,9.331218
5.0,5,9.344689
1.0,1,9.345842
2.0,2,9.352198
1.0,1,9.353298
2.0,2,9.356491
1.0,1,9.36025
2.0,2,9.363676
3.0,3,9.371963
1.0,1,9.37312
1.0,1,9.374331
4.0,4,9.385855
1.0,1,9.387016
1.0,1,9.388128
1.0,1,9.389247
2.0,2,9.395263
1.0,1,9.396305
2.0,2,9.399786
3.0,3,9.410001
2.0,2,9.413188
2.0,2,9.419557
3.0,3,9.425566
1.0,1,9.429037
1.0,1,9.430069
2.0,2,9.433709
4.0,4,9.445079
2.0,2,9.448856
1.0,1,9.452738
1.0,1,9.454009
1.0,1,9.455289
3.0,3,9.464597
1.0,1,9.465845
2.0,2,9.469661
1.0,1,9.470888
1.0,1,9.474627
3.0,3,9.480345
1.0,1,9.481484
3.0,3,9.489843
1.0,1,9.490978
2.0,2,9.497278
1.0,1,9.498426
2.0,2,9.502159
1.0,1,9.503438
3.0,3,9.511696
1.0,1,9.512782
3.0,3,9.523053
1.0,1,9.52415
1.0,1,9.52535
1.0,1,9.52649
1.0,1,9.529909
3.0,3,9.536105
2.0,2,9.542678
2.0,2,9.54629
1.0,1,9.547464
4.0,4,9.558965
2.0,2,9.562465
1.0,1,9.566578
1.0,1,9.567814
4.0,4,9.578628
1.0,1,9.579742
2.0,2,9.583609
7.0,7,9.606263
2.0,2,9.610197
2.0,2,9.614005
1.0,1,9.617685
1.0,1,9.6188
6.0,6,9.636182
1.0,1,9.637237
1.0,1,9.638296
1.0,1,9.643946
2.0,2,9.647487
1.0,1,9.648615
2.0,2,9.654581
1.0,1,9.65565
1.0,1,9.656672
2.0,2,9.660298
1.0,1,9.664113
2.0,2,9.667863
2.0,2,9.671617
1.0,1,9.675072
1.0,1,9.676262
1.0,1,9.677376
1.0,1,9.678424
1.0,1,9.679459
3.0,3,9.68878
1.0,1,9.689899
2.0,2,9.69678
1.0,1,9.697979
1.0,1,9.69907
2.0,2,9.702795
2.0,2,9.711786
