#{"t_start": 1677753903.002829, "env_id": null}
r,l,t
1.0,1,1.199422
3.0,3,1.205155
1.0,1,1.208358
4.0,4,1.216223
2.0,2,1.221802
3.0,3,1.22746
2.0,2,1.233616
3.0,3,1.238933
2.0,2,1.244995
6.0,6,1.259268
1.0,1,1.260317
2.0,2,1.265737
2.0,2,1.269003
1.0,1,1.27005
2.0,2,1.275634
1.0,1,1.276713
1.0,1,1.277937
3.0,3,1.285444
1.0,1,1.286507
3.0,3,1.291904
1.0,1,1.295473
1.0,1,1.296591
1.0,1,1.297632
2.0,2,1.302613
2.0,2,1.308034
2.0,2,1.311542
1.0,1,1.312577
1.0,1,1.315888
1.0,1,1.317014
1.0,1,1.318139
1.0,1,1.319165
1.0,1,1.320185
3.0,3,1.327748
1.0,1,1.328767
3.0,3,1.336327
2.0,2,1.339631
3.0,3,1.347344
1.0,1,1.34844
2.0,2,1.351691
3.0,3,1.359227
1.0,1,1.360243
2.0,2,1.365498
5.0,5,1.377573
1.0,1,1.378628
3.0,3,1.384311
2.0,2,1.389789
2.0,2,1.393032
3.0,3,1.400618
4.0,4,1.412236
2.0,2,1.415483
1.0,1,1.416585
1.0,1,1.417792
2.0,2,1.423561
1.0,1,1.424673
1.0,1,1.425794
1.0,1,1.426857
1.0,1,1.430039
1.0,1,1.431092
2.0,2,1.43464
1.0,1,1.435649
2.0,2,1.441182
1.0,1,1.442307
2.0,2,1.44559
1.0,1,1.448885
2.0,2,1.45224
1.0,1,1.453317
2.0,2,1.458795
2.0,2,1.462141
1.0,1,1.463195
2.0,2,1.468469
2.0,2,1.471704
1.0,1,1.472701
3.0,3,1.480016
1.0,1,1.481018
2.0,2,1.484191
1.0,1,1.487165
2.0,2,1.490333
1.0,1,1.491381
2.0,2,1.496509
1.0,1,1.497556
2.0,2,1.500761
1.0,1,1.501793
2.0,2,1.506945
3.0,3,1.512161
1.0,1,1.517539
1.0,1,1.518648
1.0,1,1.519748
1.0,1,1.520815
1.0,1,1.521899
1.0,1,1.525743
2.0,2,1.529116
3.0,3,1.536425
5.0,5,1.548035
1.0,1,1.549136
1.0,1,1.550189
2.0,2,1.553373
1.0,1,1.556279
1.0,1,1.5573
1.0,1,1.55831
1.0,1,1.559307
2.0,2,1.564607
1.0,1,1.56576
1.0,1,1.566794
1.0,1,1.567821
3.0,3,1.575132
1.0,1,1.576135
4.0,4,1.585441
1.0,1,1.586461
1.0,1,1.58746
4.0,4,1.59679
1.0,1,1.597811
1.0,1,1.598824
1.0,1,1.601822
1.0,1,1.602854
