{'alpha': 1.5467079281806946, 'proportion_of_honest': 0.4200000000000002, 'rounds': 0, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 0.5467079281806946, 'proportion_of_honest': 0.5300000000000002, 'rounds': 1, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 0.5357944592833519, 'proportion_of_honest': 0.4100000000000002, 'rounds': 2, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -0.2042693868279457, 'proportion_of_honest': 0.48000000000000026, 'rounds': 3, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 0.7957306131720543, 'proportion_of_honest': 0.5200000000000002, 'rounds': 4, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 1.651819370687008, 'proportion_of_honest': 0.6100000000000003, 'rounds': 5, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 0.6518193706870079, 'proportion_of_honest': 0.6200000000000003, 'rounds': 6, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 1.651819370687008, 'proportion_of_honest': 0.5200000000000002, 'rounds': 7, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 0.6518193706870079, 'proportion_of_honest': 0.47000000000000025, 'rounds': 8, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 0.5772969648241997, 'proportion_of_honest': 0.47000000000000025, 'rounds': 9, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 1.5772969648241997, 'proportion_of_honest': 0.4400000000000002, 'rounds': 10, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 2.371220462024212, 'proportion_of_honest': 0.5000000000000002, 'rounds': 11, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 2.0817134603857994, 'proportion_of_honest': 0.5100000000000002, 'rounds': 12, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 1.719741277396679, 'proportion_of_honest': 0.5000000000000002, 'rounds': 13, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 2.341845564544201, 'proportion_of_honest': 0.49000000000000027, 'rounds': 14, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 1.5410407111048698, 'proportion_of_honest': 0.5500000000000003, 'rounds': 15, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 1.5453529059886932, 'proportion_of_honest': 0.5300000000000002, 'rounds': 16, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 0.5514468848705292, 'proportion_of_honest': 0.45000000000000023, 'rounds': 17, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': 0.1674058735370636, 'proportion_of_honest': 0.45000000000000023, 'rounds': 18, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -0.8325941264629364, 'proportion_of_honest': 0.5100000000000002, 'rounds': 19, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -0.8186877714470029, 'proportion_of_honest': 0.5500000000000003, 'rounds': 20, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -1.8186877714470029, 'proportion_of_honest': 0.5300000000000002, 'rounds': 21, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.3343540178611875, 'proportion_of_honest': 0.5300000000000002, 'rounds': 22, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -1.7136928783729672, 'proportion_of_honest': 0.5600000000000003, 'rounds': 23, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -0.7136928783729672, 'proportion_of_honest': 0.5200000000000002, 'rounds': 24, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -1.0729350494220853, 'proportion_of_honest': 0.6000000000000003, 'rounds': 25, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -1.79039276111871, 'proportion_of_honest': 0.6300000000000003, 'rounds': 26, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -0.79039276111871, 'proportion_of_honest': 0.6200000000000003, 'rounds': 27, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -1.1266071246936917, 'proportion_of_honest': 0.6400000000000003, 'rounds': 28, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -1.704370622523129, 'proportion_of_honest': 0.6000000000000003, 'rounds': 29, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.704370622523129, 'proportion_of_honest': 0.47000000000000025, 'rounds': 30, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -3.0422265278175473, 'proportion_of_honest': 0.38000000000000017, 'rounds': 31, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -3.9596478091552854, 'proportion_of_honest': 0.38000000000000017, 'rounds': 32, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.9596478091552854, 'proportion_of_honest': 0.3300000000000001, 'rounds': 33, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.2981245862320065, 'proportion_of_honest': 0.2900000000000001, 'rounds': 34, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.565896366722882, 'proportion_of_honest': 0.34000000000000014, 'rounds': 35, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.750157375819981, 'proportion_of_honest': 0.26000000000000006, 'rounds': 36, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.7939250553026795, 'proportion_of_honest': 0.19000000000000003, 'rounds': 37, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.8464816929772496, 'proportion_of_honest': 0.19000000000000003, 'rounds': 38, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.370376300998032, 'proportion_of_honest': 0.22000000000000006, 'rounds': 39, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.384822220541537, 'proportion_of_honest': 0.15, 'rounds': 40, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -3.384822220541537, 'proportion_of_honest': 0.17, 'rounds': 41, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.996915669180453, 'proportion_of_honest': 0.15, 'rounds': 42, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -3.996915669180453, 'proportion_of_honest': 0.17, 'rounds': 43, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -3.8082973519340158, 'proportion_of_honest': 0.16, 'rounds': 44, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.808297351934016, 'proportion_of_honest': 0.12999999999999998, 'rounds': 45, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.156572059728205, 'proportion_of_honest': 0.09999999999999999, 'rounds': 46, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.377094284631312, 'proportion_of_honest': 0.08, 'rounds': 47, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.598013208247721, 'proportion_of_honest': 0.05, 'rounds': 48, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.365314052440226, 'proportion_of_honest': 0.09, 'rounds': 49, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -6.365314052440226, 'proportion_of_honest': 0.09, 'rounds': 50, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.365314052440226, 'proportion_of_honest': 0.07, 'rounds': 51, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.486471124924719, 'proportion_of_honest': 0.08, 'rounds': 52, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.557247311808169, 'proportion_of_honest': 0.09, 'rounds': 53, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -6.557247311808169, 'proportion_of_honest': 0.11999999999999998, 'rounds': 54, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -6.480956175364554, 'proportion_of_honest': 0.09999999999999999, 'rounds': 55, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -7.10156146530062, 'proportion_of_honest': 0.13999999999999999, 'rounds': 56, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -6.10156146530062, 'proportion_of_honest': 0.21000000000000005, 'rounds': 57, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.756337740458548, 'proportion_of_honest': 0.20000000000000004, 'rounds': 58, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.756337740458548, 'proportion_of_honest': 0.20000000000000004, 'rounds': 59, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -3.756337740458548, 'proportion_of_honest': 0.21000000000000005, 'rounds': 60, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -2.756337740458548, 'proportion_of_honest': 0.20000000000000004, 'rounds': 61, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -3.5386981749907136, 'proportion_of_honest': 0.15, 'rounds': 62, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.538698174990714, 'proportion_of_honest': 0.15, 'rounds': 63, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.973868259228766, 'proportion_of_honest': 0.19000000000000003, 'rounds': 64, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -3.973868259228766, 'proportion_of_honest': 0.15, 'rounds': 65, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.973868259228766, 'proportion_of_honest': 0.16, 'rounds': 66, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -3.973868259228766, 'proportion_of_honest': 0.12999999999999998, 'rounds': 67, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.764876672066748, 'proportion_of_honest': 0.12999999999999998, 'rounds': 68, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.132420011796057, 'proportion_of_honest': 0.060000000000000005, 'rounds': 69, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.772455581463873, 'proportion_of_honest': 0.02, 'rounds': 70, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -3.7724555814638734, 'proportion_of_honest': 0.02, 'rounds': 71, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -3.5860660756006837, 'proportion_of_honest': 0.04, 'rounds': 72, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.586066075600684, 'proportion_of_honest': 0.05, 'rounds': 73, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.32274950388819, 'proportion_of_honest': 0.07, 'rounds': 74, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.32274950388819, 'proportion_of_honest': 0.05, 'rounds': 75, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.922716029919684, 'proportion_of_honest': 0.09999999999999999, 'rounds': 76, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.7435745084658265, 'proportion_of_honest': 0.09999999999999999, 'rounds': 77, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -6.727189370431006, 'proportion_of_honest': 0.10999999999999999, 'rounds': 78, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -6.715704710222781, 'proportion_of_honest': 0.09999999999999999, 'rounds': 79, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.715704710222781, 'proportion_of_honest': 0.10999999999999999, 'rounds': 80, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.989282221533358, 'proportion_of_honest': 0.08, 'rounds': 81, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -6.989282221533358, 'proportion_of_honest': 0.05, 'rounds': 82, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.989282221533358, 'proportion_of_honest': 0.060000000000000005, 'rounds': 83, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.30305948946625, 'proportion_of_honest': 0.060000000000000005, 'rounds': 84, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.30305948946625, 'proportion_of_honest': 0.07, 'rounds': 85, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.435690642334521, 'proportion_of_honest': 0.11999999999999998, 'rounds': 86, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -4.0441823014989495, 'proportion_of_honest': 0.13999999999999999, 'rounds': 87, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.0441823014989495, 'proportion_of_honest': 0.09999999999999999, 'rounds': 88, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -6.0441823014989495, 'proportion_of_honest': 0.09999999999999999, 'rounds': 89, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -5.0441823014989495, 'proportion_of_honest': 0.09999999999999999, 'rounds': 90, 'initial_honest_proportion': 0.4200000000000002}
{'alpha': -6.0441823014989495, 'proportion_of_honest': 0.10999999999999999, 'rounds': 91, 'initial_honest_proportion': 0.4200000000000002}
