{'alpha': 2.0, 'proportion_of_honest': 0.45000000000000023, 'rounds': 0, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 1.9770523887127638, 'proportion_of_honest': 0.45000000000000023, 'rounds': 1, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 2.742503521963954, 'proportion_of_honest': 0.4200000000000002, 'rounds': 2, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 2.3153480272740126, 'proportion_of_honest': 0.4000000000000002, 'rounds': 3, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 3.3153480272740126, 'proportion_of_honest': 0.4300000000000002, 'rounds': 4, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 3.787372885271907, 'proportion_of_honest': 0.4200000000000002, 'rounds': 5, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 4.174432573840022, 'proportion_of_honest': 0.4200000000000002, 'rounds': 6, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 5.174432573840022, 'proportion_of_honest': 0.48000000000000026, 'rounds': 7, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 5.778721271082759, 'proportion_of_honest': 0.5100000000000002, 'rounds': 8, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 4.778721271082759, 'proportion_of_honest': 0.6300000000000003, 'rounds': 9, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 5.778721271082759, 'proportion_of_honest': 0.6100000000000003, 'rounds': 10, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 4.778721271082759, 'proportion_of_honest': 0.6700000000000004, 'rounds': 11, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 4.527220336720347, 'proportion_of_honest': 0.6900000000000004, 'rounds': 12, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 3.5272203367203474, 'proportion_of_honest': 0.6800000000000004, 'rounds': 13, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 2.5272203367203474, 'proportion_of_honest': 0.7300000000000004, 'rounds': 14, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 1.6931075733155012, 'proportion_of_honest': 0.7200000000000004, 'rounds': 15, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 1.1950797121971846, 'proportion_of_honest': 0.6900000000000004, 'rounds': 16, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 1.552673188969493, 'proportion_of_honest': 0.7100000000000004, 'rounds': 17, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 2.552673188969493, 'proportion_of_honest': 0.7200000000000004, 'rounds': 18, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 3.198891369625926, 'proportion_of_honest': 0.6800000000000004, 'rounds': 19, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 3.018346456810832, 'proportion_of_honest': 0.7400000000000004, 'rounds': 20, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 2.7694534342736006, 'proportion_of_honest': 0.7900000000000005, 'rounds': 21, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 2.5841615181416273, 'proportion_of_honest': 0.8400000000000005, 'rounds': 22, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 1.707738695666194, 'proportion_of_honest': 0.9000000000000006, 'rounds': 23, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 2.556278584524989, 'proportion_of_honest': 0.9200000000000006, 'rounds': 24, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 3.556278584524989, 'proportion_of_honest': 0.9600000000000006, 'rounds': 25, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 4.556278584524989, 'proportion_of_honest': 0.9700000000000006, 'rounds': 26, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 3.556278584524989, 'proportion_of_honest': 0.9800000000000006, 'rounds': 27, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 3.7919983696192503, 'proportion_of_honest': 0.9600000000000006, 'rounds': 28, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 3.867084613069892, 'proportion_of_honest': 0.9800000000000006, 'rounds': 29, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 3.0455772783607244, 'proportion_of_honest': 0.9900000000000007, 'rounds': 30, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 2.5677536632865667, 'proportion_of_honest': 0.9800000000000006, 'rounds': 31, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 2.246531507000327, 'proportion_of_honest': 0.9900000000000007, 'rounds': 32, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 3.246531507000327, 'proportion_of_honest': 1.0000000000000007, 'rounds': 33, 'initial_honest_proportion': 0.45000000000000023}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 1.26346093416214, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 0.2634609341621399, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 1.0738882422447205, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 0.1978054642677307, 'proportion_of_honest': 1.0000000000000007, 'rounds': 4, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': -0.21574997901916504, 'proportion_of_honest': 1.0000000000000007, 'rounds': 5, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 0.42002034187316895, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': -0.579979658126831, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': -1.579979658126831, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': -1.029880940914154, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 0.591448962688446, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': -0.40855103731155396, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 0.297615110874176, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 0.3932424783706665, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 1.3017644882202148, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 1.051452398300171, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 0.6146626770496368, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': 0.5840956568717957, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0, 'initial_honest_proportion': 1.0000000000000007}
{'alpha': -0.2189081311225891, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1, 'initial_honest_proportion': 1.0000000000000007}
