{'alpha': 0.0, 'proportion_of_honest': 0.5000000000000002, 'rounds': 0, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': -0.11563875526189804, 'proportion_of_honest': 0.5200000000000002, 'rounds': 1, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 0.4571141377091408, 'proportion_of_honest': 0.45000000000000023, 'rounds': 2, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': -0.3125015124678612, 'proportion_of_honest': 0.4400000000000002, 'rounds': 3, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': -0.2100038304924965, 'proportion_of_honest': 0.45000000000000023, 'rounds': 4, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 0.7899961695075035, 'proportion_of_honest': 0.4000000000000002, 'rounds': 5, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': -0.2100038304924965, 'proportion_of_honest': 0.4300000000000002, 'rounds': 6, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': -0.864850677549839, 'proportion_of_honest': 0.38000000000000017, 'rounds': 7, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 0.13514932245016098, 'proportion_of_honest': 0.38000000000000017, 'rounds': 8, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': -0.864850677549839, 'proportion_of_honest': 0.4100000000000002, 'rounds': 9, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': -0.9228594154119492, 'proportion_of_honest': 0.37000000000000016, 'rounds': 10, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 0.07714058458805084, 'proportion_of_honest': 0.36000000000000015, 'rounds': 11, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 0.27495890855789185, 'proportion_of_honest': 0.38000000000000017, 'rounds': 12, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': -0.32458752393722534, 'proportion_of_honest': 0.2700000000000001, 'rounds': 13, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 0.6754124760627747, 'proportion_of_honest': 0.24000000000000007, 'rounds': 14, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 1.3344475626945496, 'proportion_of_honest': 0.23000000000000007, 'rounds': 15, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 0.33444756269454956, 'proportion_of_honest': 0.2800000000000001, 'rounds': 16, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 0.5393667221069336, 'proportion_of_honest': 0.3300000000000001, 'rounds': 17, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 0.7134585082530975, 'proportion_of_honest': 0.36000000000000015, 'rounds': 18, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 0.23287034034729004, 'proportion_of_honest': 0.46000000000000024, 'rounds': 19, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 0.28482676297426224, 'proportion_of_honest': 0.48000000000000026, 'rounds': 20, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 1.2390111759305, 'proportion_of_honest': 0.4000000000000002, 'rounds': 21, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 1.9114301279187202, 'proportion_of_honest': 0.5600000000000003, 'rounds': 22, 'initial_honest_proportion': 0.5000000000000002}
{'alpha': 2.9114301279187202, 'proportion_of_honest': 0.5400000000000003, 'rounds': 23, 'initial_honest_proportion': 0.5000000000000002}
