{'alpha': 1.3494576215744019, 'proportion_of_honest': 0.5300000000000002, 'rounds': 0, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 1.4087735004723072, 'proportion_of_honest': 0.5600000000000003, 'rounds': 1, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 1.7903987355530262, 'proportion_of_honest': 0.5800000000000003, 'rounds': 2, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 1.8028485840186477, 'proportion_of_honest': 0.5200000000000002, 'rounds': 3, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 1.220948345027864, 'proportion_of_honest': 0.5000000000000002, 'rounds': 4, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 1.4117115652188659, 'proportion_of_honest': 0.47000000000000025, 'rounds': 5, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 1.0654828762635589, 'proportion_of_honest': 0.48000000000000026, 'rounds': 6, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 0.9942856719717383, 'proportion_of_honest': 0.5800000000000003, 'rounds': 7, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 0.20321085955947638, 'proportion_of_honest': 0.6200000000000003, 'rounds': 8, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 0.7803060105070472, 'proportion_of_honest': 0.6300000000000003, 'rounds': 9, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 1.7555511286482215, 'proportion_of_honest': 0.6200000000000003, 'rounds': 10, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.6863125255331397, 'proportion_of_honest': 0.6400000000000003, 'rounds': 11, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 3.345471709035337, 'proportion_of_honest': 0.7400000000000004, 'rounds': 12, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.7914848616346717, 'proportion_of_honest': 0.7800000000000005, 'rounds': 13, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 3.439884572289884, 'proportion_of_honest': 0.8100000000000005, 'rounds': 14, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 4.04336669947952, 'proportion_of_honest': 0.8100000000000005, 'rounds': 15, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 3.198003857396543, 'proportion_of_honest': 0.8100000000000005, 'rounds': 16, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 3.7314387252554297, 'proportion_of_honest': 0.8400000000000005, 'rounds': 17, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 4.0048822751268744, 'proportion_of_honest': 0.8700000000000006, 'rounds': 18, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 3.6018660655245185, 'proportion_of_honest': 0.8300000000000005, 'rounds': 19, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 3.9601899376139045, 'proportion_of_honest': 0.8200000000000005, 'rounds': 20, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 3.3470213999971747, 'proportion_of_honest': 0.8000000000000005, 'rounds': 21, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 3.412653840146959, 'proportion_of_honest': 0.7400000000000004, 'rounds': 22, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.4382332926616073, 'proportion_of_honest': 0.7500000000000004, 'rounds': 23, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.63772929366678, 'proportion_of_honest': 0.6900000000000004, 'rounds': 24, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.64747707080096, 'proportion_of_honest': 0.6800000000000004, 'rounds': 25, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.5967381400987506, 'proportion_of_honest': 0.6400000000000003, 'rounds': 26, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 3.493987421505153, 'proportion_of_honest': 0.5100000000000002, 'rounds': 27, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.8779061837121844, 'proportion_of_honest': 0.5100000000000002, 'rounds': 28, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.1613954110071063, 'proportion_of_honest': 0.46000000000000024, 'rounds': 29, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 1.4307565493509173, 'proportion_of_honest': 0.4100000000000002, 'rounds': 30, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.2038946552202106, 'proportion_of_honest': 0.4000000000000002, 'rounds': 31, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.970336656086147, 'proportion_of_honest': 0.4100000000000002, 'rounds': 32, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.5152692003175616, 'proportion_of_honest': 0.5000000000000002, 'rounds': 33, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.0762546760961413, 'proportion_of_honest': 0.5100000000000002, 'rounds': 34, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.2195689929649234, 'proportion_of_honest': 0.49000000000000027, 'rounds': 35, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.3951586140319705, 'proportion_of_honest': 0.5700000000000003, 'rounds': 36, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.128903145901859, 'proportion_of_honest': 0.5500000000000003, 'rounds': 37, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.923174853436649, 'proportion_of_honest': 0.6000000000000003, 'rounds': 38, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.5598151041194797, 'proportion_of_honest': 0.5900000000000003, 'rounds': 39, 'initial_honest_proportion': 0.5300000000000002}
{'alpha': 2.363142649643123, 'proportion_of_honest': 0.5700000000000003, 'rounds': 40, 'initial_honest_proportion': 0.5300000000000002}
