{'alpha': 1.6444995999336243, 'proportion_of_honest': 0.48000000000000026, 'rounds': 0, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.6245338320732117, 'proportion_of_honest': 0.5100000000000002, 'rounds': 1, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.365833580493927, 'proportion_of_honest': 0.5300000000000002, 'rounds': 2, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 1.9215499758720398, 'proportion_of_honest': 0.46000000000000024, 'rounds': 3, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.2071608901023865, 'proportion_of_honest': 0.5000000000000002, 'rounds': 4, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 1.9097458124160767, 'proportion_of_honest': 0.5400000000000003, 'rounds': 5, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.8428093791007996, 'proportion_of_honest': 0.5200000000000002, 'rounds': 6, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.8815777264535427, 'proportion_of_honest': 0.5500000000000003, 'rounds': 7, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.867438070476055, 'proportion_of_honest': 0.5100000000000002, 'rounds': 8, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.6689856722950935, 'proportion_of_honest': 0.5000000000000002, 'rounds': 9, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.358862079679966, 'proportion_of_honest': 0.45000000000000023, 'rounds': 10, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.259822726249695, 'proportion_of_honest': 0.5000000000000002, 'rounds': 11, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 1.8587313294410706, 'proportion_of_honest': 0.49000000000000027, 'rounds': 12, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.6475555896759033, 'proportion_of_honest': 0.5200000000000002, 'rounds': 13, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.3000054359436035, 'proportion_of_honest': 0.46000000000000024, 'rounds': 14, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.256851691752672, 'proportion_of_honest': 0.5200000000000002, 'rounds': 15, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.3315640203654766, 'proportion_of_honest': 0.48000000000000026, 'rounds': 16, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.7997700087726116, 'proportion_of_honest': 0.5300000000000002, 'rounds': 17, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.7408524826169014, 'proportion_of_honest': 0.49000000000000027, 'rounds': 18, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.3478020802140236, 'proportion_of_honest': 0.47000000000000025, 'rounds': 19, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.568273164331913, 'proportion_of_honest': 0.5200000000000002, 'rounds': 20, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.164022780954838, 'proportion_of_honest': 0.5000000000000002, 'rounds': 21, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 2.0556157678365707, 'proportion_of_honest': 0.5600000000000003, 'rounds': 22, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 1.0639076083898544, 'proportion_of_honest': 0.6200000000000003, 'rounds': 23, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': 0.22457335889339447, 'proportion_of_honest': 0.6000000000000003, 'rounds': 24, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': -0.12139688432216644, 'proportion_of_honest': 0.6000000000000003, 'rounds': 25, 'initial_honest_proportion': 0.48000000000000026}
{'alpha': -0.15712329000234604, 'proportion_of_honest': 0.6500000000000004, 'rounds': 26, 'initial_honest_proportion': 0.48000000000000026}
