{'alpha': 0.876463383436203, 'proportion_of_honest': 0.5500000000000003, 'rounds': 0, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': 1.0981627255678177, 'proportion_of_honest': 0.5700000000000003, 'rounds': 1, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': 0.09816272556781769, 'proportion_of_honest': 0.5900000000000003, 'rounds': 2, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': 0.1534115895628929, 'proportion_of_honest': 0.5800000000000003, 'rounds': 3, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -0.23843682557344437, 'proportion_of_honest': 0.5900000000000003, 'rounds': 4, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -1.2384368255734444, 'proportion_of_honest': 0.5800000000000003, 'rounds': 5, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -0.5902493074536324, 'proportion_of_honest': 0.5800000000000003, 'rounds': 6, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': 0.2999304458498955, 'proportion_of_honest': 0.5900000000000003, 'rounds': 7, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -0.7000695541501045, 'proportion_of_honest': 0.6000000000000003, 'rounds': 8, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': 0.2999304458498955, 'proportion_of_honest': 0.6100000000000003, 'rounds': 9, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -0.29434484988451004, 'proportion_of_honest': 0.7100000000000004, 'rounds': 10, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -1.29434484988451, 'proportion_of_honest': 0.6900000000000004, 'rounds': 11, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -2.29434484988451, 'proportion_of_honest': 0.7400000000000004, 'rounds': 12, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -1.7639374807476997, 'proportion_of_honest': 0.7300000000000004, 'rounds': 13, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -2.7639374807476997, 'proportion_of_honest': 0.7600000000000005, 'rounds': 14, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -1.7639374807476997, 'proportion_of_honest': 0.7600000000000005, 'rounds': 15, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -2.7639374807476997, 'proportion_of_honest': 0.8500000000000005, 'rounds': 16, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -3.6297910287976265, 'proportion_of_honest': 0.8600000000000005, 'rounds': 17, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -3.221724458038807, 'proportion_of_honest': 0.8600000000000005, 'rounds': 18, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -2.221724458038807, 'proportion_of_honest': 0.8800000000000006, 'rounds': 19, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -1.221724458038807, 'proportion_of_honest': 0.8700000000000006, 'rounds': 20, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -2.011915035545826, 'proportion_of_honest': 0.9000000000000006, 'rounds': 21, 'initial_honest_proportion': 0.5500000000000003}
{'alpha': -2.941889651119709, 'proportion_of_honest': 0.9100000000000006, 'rounds': 22, 'initial_honest_proportion': 0.5500000000000003}
