{'alpha': 0.9318354725837708, 'proportion_of_honest': 0.5100000000000002, 'rounds': 1, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 1.3097651302814484, 'proportion_of_honest': 0.6000000000000003, 'rounds': 2, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 0.5833159387111664, 'proportion_of_honest': 0.5900000000000003, 'rounds': 3, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 1.1644662916660309, 'proportion_of_honest': 0.5600000000000003, 'rounds': 4, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 0.16446629166603088, 'proportion_of_honest': 0.6200000000000003, 'rounds': 5, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': -0.5716840922832489, 'proportion_of_honest': 0.6300000000000003, 'rounds': 6, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': -0.21807947754859924, 'proportion_of_honest': 0.5900000000000003, 'rounds': 7, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': -1.1828691065311432, 'proportion_of_honest': 0.6800000000000004, 'rounds': 8, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': -0.1828691065311432, 'proportion_of_honest': 0.6600000000000004, 'rounds': 9, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': -0.07562375068664551, 'proportion_of_honest': 0.6800000000000004, 'rounds': 10, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 0.9243762493133545, 'proportion_of_honest': 0.6200000000000003, 'rounds': 11, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 1.5877649784088135, 'proportion_of_honest': 0.5800000000000003, 'rounds': 12, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 1.3606449216604233, 'proportion_of_honest': 0.5400000000000003, 'rounds': 13, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 1.3230816721916199, 'proportion_of_honest': 0.4400000000000002, 'rounds': 14, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 1.3580069318413734, 'proportion_of_honest': 0.4100000000000002, 'rounds': 15, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 0.35800693184137344, 'proportion_of_honest': 0.36000000000000015, 'rounds': 16, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 0.6303007379174232, 'proportion_of_honest': 0.36000000000000015, 'rounds': 17, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 1.6303007379174232, 'proportion_of_honest': 0.4000000000000002, 'rounds': 18, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 1.7003970295190811, 'proportion_of_honest': 0.47000000000000025, 'rounds': 19, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 2.0151112526655197, 'proportion_of_honest': 0.4200000000000002, 'rounds': 20, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 2.2189248353242874, 'proportion_of_honest': 0.46000000000000024, 'rounds': 21, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 3.2189248353242874, 'proportion_of_honest': 0.45000000000000023, 'rounds': 22, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 3.091973677277565, 'proportion_of_honest': 0.48000000000000026, 'rounds': 23, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 3.630030170083046, 'proportion_of_honest': 0.5400000000000003, 'rounds': 24, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 3.16910956799984, 'proportion_of_honest': 0.49000000000000027, 'rounds': 25, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 3.0703436732292175, 'proportion_of_honest': 0.49000000000000027, 'rounds': 26, 'initial_honest_proportion': 0.5100000000000002}
{'alpha': 2.472644805908203, 'proportion_of_honest': 0.47000000000000025, 'rounds': 27, 'initial_honest_proportion': 0.5100000000000002}
