{'alpha': 53, 'proportion_of_honest': 0.8800000000000006, 'rounds': 52, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 54, 'proportion_of_honest': 0.9200000000000006, 'rounds': 53, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 55, 'proportion_of_honest': 0.9200000000000006, 'rounds': 54, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 56, 'proportion_of_honest': 0.9200000000000006, 'rounds': 55, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 57, 'proportion_of_honest': 0.9100000000000006, 'rounds': 56, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 58, 'proportion_of_honest': 0.9100000000000006, 'rounds': 57, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 59, 'proportion_of_honest': 0.9200000000000006, 'rounds': 58, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 60, 'proportion_of_honest': 0.9100000000000006, 'rounds': 59, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 61, 'proportion_of_honest': 0.9300000000000006, 'rounds': 60, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 62, 'proportion_of_honest': 0.9500000000000006, 'rounds': 61, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 63, 'proportion_of_honest': 0.9600000000000006, 'rounds': 62, 'initial_honest_proportion': 0.3300000000000001}
