{'alpha': 1.4409795701503754, 'proportion_of_honest': 0.37000000000000016, 'rounds': 0}
{'alpha': 0.44097957015037537, 'proportion_of_honest': 0.4000000000000002, 'rounds': 1}
{'alpha': 0.03849288821220398, 'proportion_of_honest': 0.4000000000000002, 'rounds': 2}
{'alpha': 0.47135505080223083, 'proportion_of_honest': 0.49000000000000027, 'rounds': 3}
{'alpha': 1.3766576945781708, 'proportion_of_honest': 0.5600000000000003, 'rounds': 4}
{'alpha': 0.3766576945781708, 'proportion_of_honest': 0.6100000000000003, 'rounds': 5}
{'alpha': -0.6233423054218292, 'proportion_of_honest': 0.7100000000000004, 'rounds': 6}
{'alpha': -1.3806615769863129, 'proportion_of_honest': 0.8000000000000005, 'rounds': 7}
{'alpha': -1.7407042384147644, 'proportion_of_honest': 0.8500000000000005, 'rounds': 8}
{'alpha': -0.7407042384147644, 'proportion_of_honest': 0.8800000000000006, 'rounds': 9}
{'alpha': -1.1363354921340942, 'proportion_of_honest': 0.8700000000000006, 'rounds': 10}
{'alpha': -2.1363354921340942, 'proportion_of_honest': 0.8800000000000006, 'rounds': 11}
{'alpha': -2.333062559366226, 'proportion_of_honest': 0.8800000000000006, 'rounds': 12}
{'alpha': -1.3330625593662262, 'proportion_of_honest': 0.8800000000000006, 'rounds': 13}
{'alpha': -1.3849463015794754, 'proportion_of_honest': 0.8000000000000005, 'rounds': 14}
{'alpha': -1.187431737780571, 'proportion_of_honest': 0.7700000000000005, 'rounds': 15}
{'alpha': -1.269034519791603, 'proportion_of_honest': 0.7200000000000004, 'rounds': 16}
{'alpha': -1.241731658577919, 'proportion_of_honest': 0.7600000000000005, 'rounds': 17}
{'alpha': -1.4109193533658981, 'proportion_of_honest': 0.6200000000000003, 'rounds': 18}
{'alpha': -1.5665223747491837, 'proportion_of_honest': 0.6000000000000003, 'rounds': 19}
{'alpha': -0.5963903814554214, 'proportion_of_honest': 0.5200000000000002, 'rounds': 20}
{'alpha': -1.5963903814554214, 'proportion_of_honest': 0.5000000000000002, 'rounds': 21}
{'alpha': -0.5963903814554214, 'proportion_of_honest': 0.4400000000000002, 'rounds': 22}
{'alpha': -1.5963903814554214, 'proportion_of_honest': 0.3900000000000002, 'rounds': 23}
{'alpha': -0.5963903814554214, 'proportion_of_honest': 0.38000000000000017, 'rounds': 24}
{'alpha': -0.09078992903232574, 'proportion_of_honest': 0.36000000000000015, 'rounds': 25}
{'alpha': -1.0907899290323257, 'proportion_of_honest': 0.37000000000000016, 'rounds': 26}
{'alpha': -0.718979611992836, 'proportion_of_honest': 0.4000000000000002, 'rounds': 27}
{'alpha': 0.04188995063304901, 'proportion_of_honest': 0.4400000000000002, 'rounds': 28}
{'alpha': 0.43039436638355255, 'proportion_of_honest': 0.4000000000000002, 'rounds': 29}
