{'alpha': 6.85611854493618, 'proportion_of_honest': 1.0000000000000007, 'rounds': 47, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 6.836385972797871, 'proportion_of_honest': 1.0000000000000007, 'rounds': 48, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 5.944404549896717, 'proportion_of_honest': 1.0000000000000007, 'rounds': 49, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 5.642765320837498, 'proportion_of_honest': 1.0000000000000007, 'rounds': 50, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 6.334278918802738, 'proportion_of_honest': 1.0000000000000007, 'rounds': 51, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 7.334278918802738, 'proportion_of_honest': 1.0000000000000007, 'rounds': 52, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 7.4000362530350685, 'proportion_of_honest': 1.0000000000000007, 'rounds': 53, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 7.20476371794939, 'proportion_of_honest': 1.0000000000000007, 'rounds': 54, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 7.635476388037205, 'proportion_of_honest': 1.0000000000000007, 'rounds': 55, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 6.969433702528477, 'proportion_of_honest': 1.0000000000000007, 'rounds': 56, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 6.872884817421436, 'proportion_of_honest': 1.0000000000000007, 'rounds': 57, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 7.872884817421436, 'proportion_of_honest': 1.0000000000000007, 'rounds': 58, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 8.872884817421436, 'proportion_of_honest': 1.0000000000000007, 'rounds': 59, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 8.78686023503542, 'proportion_of_honest': 1.0000000000000007, 'rounds': 60, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 8.352370031177998, 'proportion_of_honest': 1.0000000000000007, 'rounds': 61, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 9.352370031177998, 'proportion_of_honest': 1.0000000000000007, 'rounds': 62, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 8.724194772541523, 'proportion_of_honest': 1.0000000000000007, 'rounds': 63, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 9.724194772541523, 'proportion_of_honest': 1.0000000000000007, 'rounds': 64, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 8.724194772541523, 'proportion_of_honest': 1.0000000000000007, 'rounds': 65, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 8.42232895642519, 'proportion_of_honest': 1.0000000000000007, 'rounds': 66, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 9.258495576679707, 'proportion_of_honest': 1.0000000000000007, 'rounds': 67, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 10.258495576679707, 'proportion_of_honest': 1.0000000000000007, 'rounds': 68, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 10.34280464798212, 'proportion_of_honest': 1.0000000000000007, 'rounds': 69, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 10.082577683031559, 'proportion_of_honest': 1.0000000000000007, 'rounds': 70, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 11.082577683031559, 'proportion_of_honest': 1.0000000000000007, 'rounds': 71, 'initial_honest_proportion': 0.49000000000000027}
