{'alpha': 1.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.270726203918457, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 1.808571219444275, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.6211370825767517, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.6211370825767517, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.0260737538337708, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.1849598288536072, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 1.0394683480262756, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 1.915581226348877, 'proportion_of_honest': 1.0000000000000007, 'rounds': 4}
{'alpha': 2.730102062225342, 'proportion_of_honest': 1.0000000000000007, 'rounds': 5}
{'alpha': 3.730102062225342, 'proportion_of_honest': 1.0000000000000007, 'rounds': 6}
{'alpha': 4.578746140003204, 'proportion_of_honest': 1.0000000000000007, 'rounds': 7}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0386345386505127, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.747325360774994, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.747325360774994, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 3.747325360774994, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 4.747325360774994, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 0.911822497844696, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.911822497844696, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.2767043113708496, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.3216755986213684, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.535231590270996, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.5762242078781128, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.49748504161834717, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.4946860074996948, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.4995743036270142, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.499574303627014, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.9900150895118713, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.2549923658370972, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.2259923219680786, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.2259923219680786, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.5684456825256348, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.102571964263916, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.9508960247039795, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.7237154245376587, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.891411304473877, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.891411304473877, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.891411304473877, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.6703200340270996, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.6703200340270996, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.8267844915390015, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.4051652550697327, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.9675884246826172, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.5184991359710693, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.7707430124282837, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.8655927181243896, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.622014343738556, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.583466410636902, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.9176604747772217, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.9176604747772217, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.9176604747772217, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 1.9176604747772217, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 2.9176604747772217, 'proportion_of_honest': 1.0000000000000007, 'rounds': 4}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.4127782583236694, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.5374807715415955, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 1.8278195261955261, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.8079535365104675, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.981330394744873, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.7630718350410461, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.508713185787201, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.064524471759796, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 3.064524471759796, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 3.5708125829696655, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 1.407641887664795, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.3749303221702576, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.10357606410980225, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.1035760641098022, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.5894160568714142, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 1.0095500349998474, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.274775743484497, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.7148983478546143, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.4974265396595001, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.1779948472976685, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.5233799815177917, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.6900665163993835, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.2146759033203125, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.7012798488140106, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.5951587557792664, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.5951587557792664, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 2.507469594478607, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 4.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 3.793496787548065, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 1.0152772665023804, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.9347625374794006, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 4.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 0.12441039085388184, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.6168587803840637, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.7128926515579224, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.7949605584144592, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.8552189469337463, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.194126158952713, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.4482416212558746, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.4482416212558746, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 3.132986396551132, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.1820586919784546, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.5895946025848389, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.659939706325531, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.3341214060783386, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': -0.34929776191711426, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': -0.3101750612258911, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 1.2183492183685303, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 4.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 5.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 4.086546003818512, 'proportion_of_honest': 1.0000000000000007, 'rounds': 4}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.7181570529937744, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.3175384402275085, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.8310136795043945, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.8310136795043945, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.4800755679607391, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.3667499721050262, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.19191288948059082, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.0367948412895203, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.21256405115127563, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.2125640511512756, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.8729289770126343, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.4313232600688934, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.4783551096916199, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.3551328182220459, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.1204530000686646, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.3013361096382141, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.3063701689243317, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.148409128189087, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.214493453502655, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.3321282863616943, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 2.3321282863616943, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 2.049906313419342, 'proportion_of_honest': 1.0000000000000007, 'rounds': 4}
{'alpha': 1.7482246160507202, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.7246938943862915, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.8969509601593018, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.8969509601593018, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.3347517251968384, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.8942424058914185, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.5269235372543335, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.9603285789489746, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.532374620437622, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.7828657627105713, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.5457093715667725, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 3.5457093715667725, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 4.125570476055145, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 3.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.6602538824081421, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.2135859727859497, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.2135859727859497, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 3.2135859727859497, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 4.21358597278595, 'proportion_of_honest': 1.0000000000000007, 'rounds': 4}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.974302053451538, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.8803924322128296, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.6171677112579346, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.6171677112579346, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 3.6171677112579346, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 0.3897043466567993, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.7253670692443848, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.1435654759407043, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.1435654759407043, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 2.1435654759407043, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.1270422339439392, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.3272119164466858, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
