honest_proportion,round,total_honest_effective_balance,alpha,sum_balance_honest,sum_balance_all
0.5000000000000002,0,1696,1,1646.9165349317284,3246.916534931724
0.5300000000000002,1,1695,1,1774.0596791600622,3298.966208841888
0.5300000000000002,2,1503,1,1796.0672704744345,3350.904690715927
0.47000000000000025,3,1505,1,1578.042663947731,3299.4858914212955
0.48000000000000026,4,1427,1,1583.3129214839641,3249.317851223181
0.46000000000000024,5,1307,1,1499.0992550938465,3195.9883545213033
0.4300000000000002,6,1581,1,1370.4816499481972,3136.982496235568
0.5300000000000002,7,1430,1,1716.1198883138707,3186.377147661173
0.48000000000000026,8,1699,1,1527.8841763476878,3138.9640450946504
0.5800000000000003,9,1615,1,1880.5751040306027,3197.462031427881
0.5500000000000003,10,1525,1,1812.7147516788934,3249.349667743422
0.5200000000000002,11,1552,1,1737.5210766806883,3295.2428999762305
0.5300000000000002,12,1638,1,1797.76263875296,3342.459300569397
0.5600000000000003,13,1725,1,1924.9414479504599,3395.1996347208355
0.5900000000000003,14,1767,1,2049.428476859487,3452.8938500828203
0.6000000000000003,15,1877,1,2142.4888245726534,3512.602761148526
0.6400000000000003,16,1841,1,2321.59196005935,3580.1098982265407
0.6300000000000003,17,1871,1,2321.573291384828,3644.26781837656
0.6400000000000003,18,1844,1,2389.656131375319,3710.329558117526
0.6300000000000003,19,1983,1,2409.2571149015794,3773.89455490016
0.6800000000000004,20,2107,1,2616.2275012641185,3847.0532939834775
0.7200000000000004,21,2023,1,2844.960699378953,3928.6334814376423
0.6900000000000004,22,2225,1,2781.5113513565097,4002.9092390163582
0.7600000000000005,23,2460,1,3121.883782155801,4092.0779512265135
0.8400000000000005,24,2597,1,3538.2492614695666,4200.043403763736
0.8700000000000006,25,2721,1,3762.389859338463,4316.202384697888
0.8900000000000006,26,2784,1,3949.3481948229974,4439.4010478374985
0.8900000000000006,27,2606,1,4087.5800317094704,4563.756787588355
0.8300000000000005,28,2600,1,3879.881869667626,4670.342463940652
0.8200000000000005,29,2590,1,3947.2319864867554,4774.336464448058
0.8200000000000005,30,2722,1,4018.4905080596645,4876.980989993287
0.8600000000000005,31,2742,1,4293.328988100101,4988.979871455733
0.8700000000000006,32,2907,1,4441.646450263233,5101.833496646647
0.9200000000000006,33,3008,1,4840.893924969215,5227.018370094695
0.9500000000000006,34,2946,1,5102.276015482171,5359.207143521318
0.9300000000000006,35,3013,1,5121.728702655601,5484.348821525455
0.9500000000000006,36,3046,1,5338.5327070015,5613.615604828595
0.9600000000000006,37,3142,1,5515.093748253199,5744.341559468339
0.9900000000000007,38,3142,1,5816.626301148351,5881.654272365946
0.9900000000000007,39,3142,1,5960.035486184391,6017.354672682922
0.9900000000000007,40,3110,1,6088.544768680475,6151.516223598153
0.9800000000000006,41,3110,1,6162.213373493696,6281.516946700179
0.9800000000000006,42,3142,1,6282.673562622188,6410.165405263234
0.9900000000000007,43,3142,1,6474.445124093101,6540.151308770226
0.9900000000000007,44,3078,1,6603.765860640926,6668.838990490423
0.9700000000000006,45,3174,1,6592.262997173485,6791.138776513967
1.0000000000000007,46,3174,1,6920.01222132945,6920.01222132945
1.0000000000000007,47,3174,1,7047.680002166723,7047.680002166723
1.0000000000000007,48,3174,1,7174.186155892474,7174.186155892474
1.0000000000000007,49,3174,1,7299.571974404307,7299.571974404307
1.0000000000000007,50,3174,1,7423.876243014766,7423.876243014766
1.0000000000000007,51,3174,1,7547.135452580147,7547.135452580147
1.0000000000000007,52,3174,1,7669.383988847643,7669.383988847643
1.0000000000000007,53,3174,1,7790.654301961431,7790.654301961431
1.0000000000000007,54,3174,1,7910.977058628089,7910.977058628089
1.0000000000000007,55,3174,1,8030.381279075737,8030.381279075737
1.0000000000000007,56,3174,1,8148.894460636428,8148.894460636428
1.0000000000000007,57,3174,1,8266.542689525379,8266.542689525379
1.0000000000000007,58,3174,1,8383.350742175475,8383.350742175475
1.0000000000000007,59,3174,1,8499.3421773037,8499.3421773037
1.0000000000000007,60,3174,1,8614.539419731827,8614.539419731827
1.0000000000000007,61,3174,1,8728.963836852428,8728.963836852428
1.0000000000000007,62,3174,1,8842.635808519277,8842.635808519277
1.0000000000000007,63,3174,1,8955.574791044839,8955.574791044839
1.0000000000000007,64,3174,1,9067.799375905217,9067.799375905217
1.0000000000000007,65,3174,1,9179.327343681247,9179.327343681247
1.0000000000000007,66,3174,1,9290.175713703356,9290.175713703356
1.0000000000000007,67,3174,1,9400.36078981367,9400.36078981367
1.0000000000000007,68,3174,1,9509.898202612902,9509.898202612902
1.0000000000000007,69,3174,1,9618.95035613355,9618.95035613355
1.0000000000000007,70,3174,1,9727.236003808697,9727.236003808697
1.0000000000000007,71,3174,1,9834.917235292396,9834.917235292396
1.0000000000000007,72,3174,1,9942.007350399608,9942.007350399608
1.0000000000000007,73,3174,1,10048.519144529042,10048.519144529042
1.0000000000000007,74,3174,1,10154.464935577316,10154.464935577316
1.0000000000000007,75,3174,1,10259.856589014482,10259.856589014482
1.0000000000000007,76,3174,1,10364.705541273213,10364.705541273213
1.0000000000000007,77,3174,1,10469.022821589255,10469.022821589255
1.0000000000000007,78,3174,1,10572.819072417358,10572.819072417358
1.0000000000000007,79,3174,1,10676.104568535546,10676.104568535546
1.0000000000000007,80,3174,1,10778.88923493995,10778.88923493995
1.0000000000000007,81,3174,1,10881.182663622953,10881.182663622953
1.0000000000000007,82,3174,1,10982.994129319579,10982.994129319579
1.0000000000000007,83,3174,1,11084.332604298701,11084.332604298701
1.0000000000000007,84,3174,1,11185.206772269941,11185.206772269941
