honest_proportion,round,total_honest_effective_balance,alpha,sum_balance_honest,sum_balance_all
0.5000000000000002,0,1791,0.0,1647.729707730093,3246.5983368801894
0.5600000000000003,1,1824,-1.0,1874.1916339271734,3305.1018936376163
0.5700000000000003,2,2047,-2.0,1947.5749439371066,3365.2250291760683
0.6400000000000003,3,2048,-3.0,2228.7086315055417,3440.4292683256826
0.6400000000000003,4,2112,-4.0,2285.255219921615,3514.451043564356
0.6600000000000004,5,2590,-5.0,2398.63667693584,3592.3825778561572
0.8100000000000005,6,2496,-6.0,3023.1003046492465,3709.2711836003177
0.7800000000000005,7,2303,-7.0,3005.875993743892,3815.979820232628
0.7200000000000004,8,2368,-8.0,2831.921201159527,3905.5010466547837
0.7400000000000004,9,2624,-9.0,2993.646239657246,3999.046014869237
0.8200000000000005,10,2398,-10.0,3392.999195903207,4112.2209851924645
0.7500000000000004,11,2654,-11.0,3175.3564093153827,4205.379477697937
0.8300000000000005,12,2688,-12.0,3598.567511652034,4318.845670790961
0.8400000000000005,13,2655,-13.0,3753.0656780574777,4433.627140170632
0.8300000000000005,14,2528,-14.0,3809.9429397710646,4544.17613561829
0.7900000000000005,15,2400,-15.0,3683.0190044207025,4643.086535944699
0.7500000000000004,16,2432,-16.0,3582.4828275358323,4730.832098859054
0.7600000000000005,17,2686,-17.0,3687.826506010466,4820.112510839273
0.8400000000000005,18,2784,-18.0,4152.591696023297,4928.680167950906
0.8700000000000006,19,2656,-19.0,4395.998990701915,5043.978662280909
0.8300000000000005,20,2687,-20.0,4297.209136356667,5147.242242730407
0.8400000000000005,21,2431,-21.0,4427.137701042367,5252.342811190833
0.7600000000000005,22,2495,-22.0,4072.69434111814,5337.039606709719
0.7800000000000005,23,2270,-23.0,4266.643980413244,5425.578974468718
0.7100000000000004,24,2460,-24.0,3936.639846603446,5498.1925269407675
0.7700000000000005,25,2269,-25.0,4335.051604557846,5583.48336966821
0.7100000000000004,26,2141,-26.0,4039.7249513167685,5655.030711294485
0.6700000000000004,27,2108,-27.0,3845.211630498533,5718.590554053236
0.6600000000000004,28,2012,-28.0,3844.822979282222,5779.880774319519
0.6300000000000003,29,2203,-29.0,3693.5533374952547,5835.090848604346
0.6900000000000004,30,2235,-30.0,4079.73968529863,5901.420268769576
0.7000000000000004,31,2106,-31.0,4203.566155750355,5968.987830105901
0.6600000000000004,32,2137,-32.0,4010.1508254324563,6028.9210614680505
0.6700000000000004,33,2076,-33.0,4101.518709037298,6090.362004179261
0.6500000000000004,34,2329,-34.0,4036.7075479166087,6147.686206880888
0.7300000000000004,35,2328,-35.0,4554.408613252936,6220.012664702526
0.7300000000000004,36,2265,-36.0,4604.290833955536,6291.886146768658
0.7100000000000004,37,2363,-37.0,4527.233192259472,6359.1646561086345
0.7400000000000004,38,2488,-38.0,4779.993808737761,6432.317311898831
0.7800000000000005,39,2744,-39.0,5109.788243336937,6513.087391200064
0.8600000000000005,40,2648,-40.0,5694.933439398067,6610.7946819492845
0.8300000000000005,41,2744,-41.0,5570.083677147298,6701.115993697331
0.8600000000000005,42,2807,-42.0,5863.327587080737,6797.442732276888
0.8800000000000006,43,2681,-43.0,6073.290875600888,6897.608893950009
0.8400000000000005,44,2871,-44.0,5888.441131402575,6988.1951420324895
0.9000000000000006,45,2936,-45.0,6392.175153023799,7091.524510382939
0.9200000000000006,46,2840,-46.0,6636.336401146709,7198.774390201744
0.8900000000000006,47,2776,-47.0,6520.4913642152405,7298.412890617914
0.8700000000000006,48,2678,-48.0,6446.642487178077,7392.520341217846
0.8400000000000005,49,2456,-49.0,6286.237365062119,7479.922880887597
0.7700000000000005,50,2298,-50.0,5822.913546163352,7552.581232839798
